date,revenue,units_sold,product,region
2026-02-19,290.25,2,Growth Plan,EMEA
2026-02-19,713.98,2,Enterprise Plan,APAC
2026-02-19,142.22,1,Growth Plan,North America
2026-02-19,291.36,2,Growth Plan,APAC
2026-02-19,46.08,2,Add-on Seats,North America
2026-02-19,269.19,2,Growth Plan,APAC
2026-02-19,170.47,1,Growth Plan,APAC
2026-02-19,723.14,2,Enterprise Plan,EMEA
2026-02-19,49.42,1,Starter Plan,EMEA
2026-02-19,53.96,1,Starter Plan,North America
2026-02-19,94.17,2,Starter Plan,APAC
2026-02-19,756.03,2,Enterprise Plan,EMEA
2026-02-19,786.77,2,Enterprise Plan,North America
2026-02-19,49.6,1,Starter Plan,North America
2026-02-20,299.35,2,Growth Plan,EMEA
2026-02-20,109.44,2,Starter Plan,APAC
2026-02-20,28.23,1,Add-on Seats,EMEA
2026-02-20,284.86,2,Growth Plan,North America
2026-02-20,49.22,1,Starter Plan,EMEA
2026-02-20,140.3,1,Growth Plan,North America
2026-02-20,144.21,1,Growth Plan,EMEA
2026-02-20,270.39,2,Growth Plan,EMEA
2026-02-20,25.54,1,Add-on Seats,North America
2026-02-20,423.33,1,Enterprise Plan,EMEA
2026-02-20,311.63,2,Growth Plan,APAC
2026-02-20,330.68,1,Enterprise Plan,APAC
2026-02-20,25.56,1,Add-on Seats,North America
2026-02-20,51.27,2,Add-on Seats,North America
2026-02-20,156.29,1,Growth Plan,EMEA
2026-02-20,85.49,2,Starter Plan,APAC
2026-02-20,145.78,1,Growth Plan,North America
2026-02-20,150.8,3,Starter Plan,North America
2026-02-20,26.93,1,Add-on Seats,APAC
2026-02-20,383.22,1,Enterprise Plan,APAC
2026-02-20,366.39,1,Enterprise Plan,EMEA
2026-02-20,44.27,1,Starter Plan,EMEA
2026-02-20,25.64,1,Add-on Seats,North America
2026-02-20,148.12,1,Growth Plan,North America
2026-02-21,153.6,1,Growth Plan,North America
2026-02-21,22.47,1,Add-on Seats,North America
2026-02-21,44.25,1,Starter Plan,EMEA
2026-02-21,114.22,2,Starter Plan,North America
2026-02-21,22.83,1,Add-on Seats,North America
2026-02-21,157.0,1,Growth Plan,EMEA
2026-02-21,363.59,1,Enterprise Plan,EMEA
2026-02-21,264.56,2,Growth Plan,North America
2026-02-21,301.88,1,Enterprise Plan,APAC
2026-02-21,49.39,1,Starter Plan,EMEA
2026-02-21,93.1,2,Starter Plan,North America
2026-02-22,148.2,1,Growth Plan,EMEA
2026-02-22,50.67,1,Starter Plan,EMEA
2026-02-22,49.45,1,Starter Plan,North America
2026-02-22,23.79,1,Add-on Seats,North America
2026-02-22,150.05,1,Growth Plan,North America
2026-02-22,140.55,1,Growth Plan,APAC
2026-02-22,326.18,1,Enterprise Plan,EMEA
2026-02-22,150.6,1,Growth Plan,North America
2026-02-23,495.72,3,Growth Plan,North America
2026-02-23,86.1,2,Starter Plan,North America
2026-02-23,290.81,1,Enterprise Plan,North America
2026-02-23,48.39,2,Add-on Seats,North America
2026-02-23,25.16,1,Add-on Seats,North America
2026-02-23,679.02,2,Enterprise Plan,North America
2026-02-23,46.41,1,Starter Plan,North America
2026-02-23,302.23,2,Growth Plan,EMEA
2026-02-23,349.19,1,Enterprise Plan,EMEA
2026-02-23,328.84,1,Enterprise Plan,APAC
2026-02-23,164.07,1,Growth Plan,North America
2026-02-23,53.92,1,Starter Plan,North America
2026-02-23,22.08,1,Add-on Seats,North America
2026-02-23,448.66,3,Growth Plan,EMEA
2026-02-23,102.8,2,Starter Plan,North America
2026-02-23,88.93,2,Starter Plan,EMEA
2026-02-23,732.1,2,Enterprise Plan,EMEA
2026-02-23,49.59,1,Starter Plan,EMEA
2026-02-23,48.33,1,Starter Plan,North America
2026-02-23,50.18,1,Starter Plan,APAC
2026-02-23,98.5,2,Starter Plan,North America
2026-02-23,51.65,1,Starter Plan,EMEA
2026-02-23,48.18,2,Add-on Seats,North America
2026-02-23,50.18,1,Starter Plan,North America
2026-02-23,766.95,2,Enterprise Plan,EMEA
2026-02-23,98.46,2,Starter Plan,APAC
2026-02-23,22.78,1,Add-on Seats,APAC
2026-02-23,362.51,1,Enterprise Plan,EMEA
2026-02-23,48.85,1,Starter Plan,EMEA
2026-02-23,721.37,2,Enterprise Plan,APAC
2026-02-24,52.5,1,Starter Plan,North America
2026-02-24,97.18,2,Starter Plan,APAC
2026-02-24,24.81,1,Add-on Seats,North America
2026-02-24,166.69,1,Growth Plan,North America
2026-02-24,44.81,2,Add-on Seats,North America
2026-02-24,24.46,1,Add-on Seats,North America
2026-02-24,151.01,1,Growth Plan,EMEA
2026-02-24,49.83,1,Starter Plan,North America
2026-02-24,156.64,3,Starter Plan,EMEA
2026-02-24,456.52,3,Growth Plan,North America
2026-02-24,320.11,2,Growth Plan,North America
2026-02-24,161.32,3,Starter Plan,North America
2026-02-24,117.8,2,Starter Plan,APAC
2026-02-24,265.01,2,Growth Plan,APAC
2026-02-24,142.91,1,Growth Plan,North America
2026-02-24,24.75,1,Add-on Seats,EMEA
2026-02-24,318.84,2,Growth Plan,North America
2026-02-24,159.98,1,Growth Plan,North America
2026-02-24,103.51,2,Starter Plan,EMEA
2026-02-24,112.16,2,Starter Plan,APAC
2026-02-24,107.23,2,Starter Plan,North America
2026-02-24,50.24,1,Starter Plan,APAC
2026-02-24,447.17,3,Growth Plan,North America
2026-02-25,403.39,1,Enterprise Plan,North America
2026-02-25,49.43,1,Starter Plan,APAC
2026-02-25,307.2,2,Growth Plan,North America
2026-02-25,48.96,1,Starter Plan,EMEA
2026-02-25,737.77,2,Enterprise Plan,North America
2026-02-25,95.04,2,Starter Plan,EMEA
2026-02-25,745.24,2,Enterprise Plan,EMEA
2026-02-25,95.54,2,Starter Plan,North America
2026-02-25,25.5,1,Add-on Seats,North America
2026-02-25,21.26,1,Add-on Seats,North America
2026-02-25,50.35,2,Add-on Seats,APAC
2026-02-25,164.24,1,Growth Plan,North America
2026-02-25,128.22,1,Growth Plan,North America
2026-02-25,142.08,1,Growth Plan,EMEA
2026-02-25,22.42,1,Add-on Seats,APAC
2026-02-25,26.45,1,Add-on Seats,APAC
2026-02-25,50.46,1,Starter Plan,EMEA
2026-02-25,24.79,1,Add-on Seats,North America
2026-02-25,52.22,1,Starter Plan,EMEA
2026-02-25,27.43,1,Add-on Seats,EMEA
2026-02-25,55.87,1,Starter Plan,EMEA
2026-02-25,43.13,2,Add-on Seats,North America
2026-02-25,94.75,2,Starter Plan,North America
2026-02-25,297.48,1,Enterprise Plan,EMEA
2026-02-25,26.32,1,Add-on Seats,North America
2026-02-25,53.59,2,Add-on Seats,North America
2026-02-25,97.83,2,Starter Plan,EMEA
2026-02-26,308.41,2,Growth Plan,APAC
2026-02-26,157.06,1,Growth Plan,North America
2026-02-26,295.01,2,Growth Plan,North America
2026-02-26,22.96,1,Add-on Seats,North America
2026-02-26,98.93,2,Starter Plan,APAC
2026-02-26,294.28,2,Growth Plan,EMEA
2026-02-26,54.12,2,Add-on Seats,North America
2026-02-26,53.25,2,Add-on Seats,North America
2026-02-26,48.49,2,Add-on Seats,EMEA
2026-02-26,165.62,1,Growth Plan,North America
2026-02-26,60.73,2,Add-on Seats,North America
2026-02-26,289.83,2,Growth Plan,APAC
2026-02-26,53.75,1,Starter Plan,APAC
2026-02-26,154.2,1,Growth Plan,APAC
2026-02-26,106.43,2,Starter Plan,North America
2026-02-26,817.74,2,Enterprise Plan,EMEA
2026-02-26,117.3,2,Starter Plan,APAC
2026-02-26,313.19,2,Growth Plan,North America
2026-02-26,49.1,1,Starter Plan,North America
2026-02-26,26.29,1,Add-on Seats,APAC
2026-02-26,428.88,1,Enterprise Plan,North America
2026-02-26,96.6,2,Starter Plan,North America
2026-02-26,654.22,2,Enterprise Plan,APAC
2026-02-27,473.05,3,Growth Plan,North America
2026-02-27,347.73,1,Enterprise Plan,North America
2026-02-27,299.27,2,Growth Plan,North America
2026-02-27,51.86,1,Starter Plan,North America
2026-02-27,51.9,2,Add-on Seats,North America
2026-02-27,42.14,1,Starter Plan,North America
2026-02-27,52.99,1,Starter Plan,North America
2026-02-27,50.12,1,Starter Plan,EMEA
2026-02-27,157.53,1,Growth Plan,North America
2026-02-27,163.33,1,Growth Plan,North America
2026-02-27,26.25,1,Add-on Seats,North America
2026-02-27,54.5,1,Starter Plan,North America
2026-02-27,165.67,1,Growth Plan,APAC
2026-02-27,99.97,2,Starter Plan,EMEA
2026-02-27,292.42,2,Growth Plan,EMEA
2026-02-27,25.19,1,Add-on Seats,APAC
2026-02-27,429.08,3,Growth Plan,North America
2026-02-27,171.64,3,Starter Plan,APAC
2026-02-27,107.85,2,Starter Plan,EMEA
2026-02-27,322.28,2,Growth Plan,EMEA
2026-02-27,160.9,1,Growth Plan,North America
2026-02-27,23.87,1,Add-on Seats,APAC
2026-02-27,22.47,1,Add-on Seats,North America
2026-02-27,54.64,2,Add-on Seats,EMEA
2026-02-28,23.48,1,Add-on Seats,North America
2026-02-28,680.18,2,Enterprise Plan,EMEA
2026-02-28,93.63,2,Starter Plan,North America
2026-02-28,50.5,1,Starter Plan,APAC
2026-02-28,103.19,2,Starter Plan,EMEA
2026-02-28,50.05,1,Starter Plan,APAC
2026-02-28,52.44,1,Starter Plan,North America
2026-02-28,24.32,1,Add-on Seats,North America
2026-02-28,328.35,2,Growth Plan,EMEA
2026-02-28,54.55,1,Starter Plan,North America
2026-02-28,502.86,3,Growth Plan,EMEA
2026-02-28,352.01,1,Enterprise Plan,North America
2026-02-28,54.01,1,Starter Plan,North America
2026-03-01,42.5,1,Starter Plan,APAC
2026-03-01,51.68,2,Add-on Seats,North America
2026-03-01,644.09,2,Enterprise Plan,APAC
2026-03-01,168.03,1,Growth Plan,North America
2026-03-01,24.82,1,Add-on Seats,North America
2026-03-01,51.91,2,Add-on Seats,North America
2026-03-01,27.99,1,Add-on Seats,EMEA
2026-03-01,45.76,1,Starter Plan,North America
2026-03-01,24.7,1,Add-on Seats,EMEA
2026-03-01,26.29,1,Add-on Seats,North America
2026-03-01,658.7,2,Enterprise Plan,EMEA
2026-03-02,326.97,1,Enterprise Plan,EMEA
2026-03-02,51.47,2,Add-on Seats,North America
2026-03-02,302.65,2,Growth Plan,APAC
2026-03-02,153.98,1,Growth Plan,North America
2026-03-02,27.26,1,Add-on Seats,North America
2026-03-02,325.21,2,Growth Plan,EMEA
2026-03-02,793.36,2,Enterprise Plan,EMEA
2026-03-02,89.1,2,Starter Plan,North America
2026-03-02,387.96,1,Enterprise Plan,North America
2026-03-02,47.15,1,Starter Plan,APAC
2026-03-02,25.2,1,Add-on Seats,North America
2026-03-02,26.34,1,Add-on Seats,North America
2026-03-02,43.14,1,Starter Plan,North America
2026-03-02,388.33,1,Enterprise Plan,APAC
2026-03-02,100.36,2,Starter Plan,North America
2026-03-02,47.88,2,Add-on Seats,North America
2026-03-02,72.42,3,Add-on Seats,North America
2026-03-02,334.62,2,Growth Plan,North America
2026-03-02,142.94,1,Growth Plan,North America
2026-03-02,324.0,2,Growth Plan,EMEA
2026-03-02,151.29,1,Growth Plan,North America
2026-03-02,83.76,2,Starter Plan,North America
2026-03-02,24.23,1,Add-on Seats,North America
2026-03-02,51.69,1,Starter Plan,EMEA
2026-03-02,149.78,1,Growth Plan,North America
2026-03-03,96.9,2,Starter Plan,EMEA
2026-03-03,47.83,1,Starter Plan,EMEA
2026-03-03,103.91,2,Starter Plan,North America
2026-03-03,153.07,3,Starter Plan,North America
2026-03-03,123.82,2,Starter Plan,APAC
2026-03-03,158.25,1,Growth Plan,APAC
2026-03-03,290.73,2,Growth Plan,EMEA
2026-03-03,45.58,1,Starter Plan,EMEA
2026-03-03,138.11,1,Growth Plan,APAC
2026-03-03,308.16,2,Growth Plan,EMEA
2026-03-03,93.79,2,Starter Plan,North America
2026-03-03,694.36,2,Enterprise Plan,North America
2026-03-03,51.96,1,Starter Plan,North America
2026-03-03,398.3,1,Enterprise Plan,North America
2026-03-03,307.05,2,Growth Plan,EMEA
2026-03-03,146.43,1,Growth Plan,North America
2026-03-03,111.52,2,Starter Plan,North America
2026-03-03,75.1,3,Add-on Seats,North America
2026-03-03,367.75,1,Enterprise Plan,North America
2026-03-03,719.72,2,Enterprise Plan,APAC
2026-03-03,49.01,2,Add-on Seats,EMEA
2026-03-03,798.65,2,Enterprise Plan,EMEA
2026-03-03,27.03,1,Add-on Seats,EMEA
2026-03-03,110.45,2,Starter Plan,EMEA
2026-03-03,140.19,1,Growth Plan,EMEA
2026-03-03,101.38,2,Starter Plan,APAC
2026-03-04,143.5,1,Growth Plan,EMEA
2026-03-04,50.69,2,Add-on Seats,EMEA
2026-03-04,96.23,2,Starter Plan,North America
2026-03-04,107.04,2,Starter Plan,EMEA
2026-03-04,49.24,1,Starter Plan,North America
2026-03-04,51.46,1,Starter Plan,North America
2026-03-04,50.63,2,Add-on Seats,EMEA
2026-03-04,158.43,1,Growth Plan,North America
2026-03-04,47.78,2,Add-on Seats,North America
2026-03-04,139.86,1,Growth Plan,EMEA
2026-03-04,89.97,2,Starter Plan,EMEA
2026-03-04,340.2,2,Growth Plan,North America
2026-03-04,94.38,2,Starter Plan,EMEA
2026-03-04,353.41,1,Enterprise Plan,North America
2026-03-04,96.72,2,Starter Plan,North America
2026-03-04,95.94,2,Starter Plan,APAC
2026-03-04,106.75,2,Starter Plan,EMEA
2026-03-04,291.05,2,Growth Plan,North America
2026-03-04,25.46,1,Add-on Seats,North America
2026-03-04,146.77,1,Growth Plan,North America
2026-03-04,176.43,1,Growth Plan,North America
2026-03-04,373.3,1,Enterprise Plan,North America
2026-03-04,49.7,2,Add-on Seats,North America
2026-03-04,349.66,2,Growth Plan,APAC
2026-03-04,161.85,1,Growth Plan,EMEA
2026-03-04,659.53,2,Enterprise Plan,North America
2026-03-04,62.59,1,Starter Plan,North America
2026-03-04,29.1,1,Add-on Seats,North America
2026-03-04,46.13,1,Starter Plan,APAC
2026-03-04,26.23,1,Add-on Seats,North America
2026-03-04,179.18,1,Growth Plan,APAC
2026-03-04,391.37,1,Enterprise Plan,EMEA
2026-03-05,335.33,2,Growth Plan,APAC
2026-03-05,27.55,1,Add-on Seats,APAC
2026-03-05,141.97,1,Growth Plan,North America
2026-03-05,46.72,1,Starter Plan,North America
2026-03-05,105.08,2,Starter Plan,EMEA
2026-03-05,347.17,1,Enterprise Plan,APAC
2026-03-05,175.41,1,Growth Plan,North America
2026-03-05,307.73,2,Growth Plan,North America
2026-03-05,138.96,1,Growth Plan,North America
2026-03-05,802.08,2,Enterprise Plan,North America
2026-03-05,1153.59,3,Enterprise Plan,EMEA
2026-03-05,50.45,1,Starter Plan,North America
2026-03-05,423.43,3,Growth Plan,North America
2026-03-05,717.24,2,Enterprise Plan,North America
2026-03-05,677.7,2,Enterprise Plan,EMEA
2026-03-05,927.9,3,Enterprise Plan,APAC
2026-03-05,173.14,1,Growth Plan,APAC
2026-03-05,377.36,2,Growth Plan,North America
2026-03-05,47.67,1,Starter Plan,North America
2026-03-05,705.75,2,Enterprise Plan,EMEA
2026-03-05,758.59,2,Enterprise Plan,EMEA
2026-03-05,305.06,2,Growth Plan,APAC
2026-03-05,24.02,1,Add-on Seats,EMEA
2026-03-05,343.11,2,Growth Plan,North America
2026-03-05,48.35,1,Starter Plan,APAC
2026-03-05,322.77,2,Growth Plan,EMEA
2026-03-05,55.33,2,Add-on Seats,North America
2026-03-05,53.98,2,Add-on Seats,North America
2026-03-05,55.99,1,Starter Plan,North America
2026-03-06,163.4,1,Growth Plan,North America
2026-03-06,57.57,1,Starter Plan,North America
2026-03-06,645.24,2,Enterprise Plan,North America
2026-03-06,151.97,1,Growth Plan,North America
2026-03-06,53.35,1,Starter Plan,North America
2026-03-06,46.57,1,Starter Plan,North America
2026-03-06,24.25,1,Add-on Seats,APAC
2026-03-06,256.99,2,Growth Plan,North America
2026-03-06,750.99,2,Enterprise Plan,North America
2026-03-06,343.16,2,Growth Plan,APAC
2026-03-06,103.34,2,Starter Plan,APAC
2026-03-06,47.89,1,Starter Plan,APAC
2026-03-06,46.86,2,Add-on Seats,APAC
2026-03-06,51.68,1,Starter Plan,North America
2026-03-06,98.65,2,Starter Plan,North America
2026-03-06,52.51,1,Starter Plan,APAC
2026-03-06,50.06,1,Starter Plan,EMEA
2026-03-06,54.93,1,Starter Plan,North America
2026-03-06,153.19,1,Growth Plan,North America
2026-03-06,164.15,1,Growth Plan,North America
2026-03-06,96.78,2,Starter Plan,North America
2026-03-06,47.82,1,Starter Plan,EMEA
2026-03-06,47.78,1,Starter Plan,EMEA
2026-03-06,158.01,3,Starter Plan,North America
2026-03-06,322.34,2,Growth Plan,North America
2026-03-06,25.73,1,Add-on Seats,North America
2026-03-06,94.04,2,Starter Plan,North America
2026-03-06,452.79,3,Growth Plan,North America
2026-03-06,384.66,1,Enterprise Plan,EMEA
2026-03-06,114.51,2,Starter Plan,North America
2026-03-06,154.45,1,Growth Plan,North America
2026-03-06,47.46,1,Starter Plan,North America
2026-03-07,117.73,2,Starter Plan,North America
2026-03-07,52.67,1,Starter Plan,North America
2026-03-07,741.11,2,Enterprise Plan,EMEA
2026-03-07,58.28,2,Add-on Seats,APAC
2026-03-07,60.83,1,Starter Plan,APAC
2026-03-07,48.9,1,Starter Plan,EMEA
2026-03-07,333.47,2,Growth Plan,North America
2026-03-07,145.66,3,Starter Plan,North America
2026-03-07,152.99,1,Growth Plan,EMEA
2026-03-07,386.74,1,Enterprise Plan,APAC
2026-03-07,45.75,1,Starter Plan,North America
2026-03-08,316.48,2,Growth Plan,EMEA
2026-03-08,24.95,1,Add-on Seats,EMEA
2026-03-08,160.72,1,Growth Plan,APAC
2026-03-08,44.04,2,Add-on Seats,North America
2026-03-08,52.31,1,Starter Plan,APAC
2026-03-08,171.02,1,Growth Plan,EMEA
2026-03-08,484.2,3,Growth Plan,EMEA
2026-03-08,49.43,2,Add-on Seats,North America
2026-03-08,23.53,1,Add-on Seats,APAC
2026-03-08,73.52,3,Add-on Seats,North America
2026-03-08,165.37,1,Growth Plan,North America
2026-03-08,84.21,2,Starter Plan,APAC
2026-03-08,28.48,1,Add-on Seats,North America
2026-03-08,47.66,1,Starter Plan,APAC
2026-03-08,336.24,2,Growth Plan,EMEA
2026-03-08,50.72,2,Add-on Seats,APAC
2026-03-09,166.01,1,Growth Plan,EMEA
2026-03-09,51.48,1,Starter Plan,North America
2026-03-09,179.26,1,Growth Plan,APAC
2026-03-09,152.92,1,Growth Plan,North America
2026-03-09,25.65,1,Add-on Seats,APAC
2026-03-09,383.98,1,Enterprise Plan,North America
2026-03-09,152.02,1,Growth Plan,APAC
2026-03-09,94.41,2,Starter Plan,North America
2026-03-09,53.25,1,Starter Plan,North America
2026-03-09,321.81,2,Growth Plan,North America
2026-03-09,97.33,2,Starter Plan,North America
2026-03-09,137.35,1,Growth Plan,EMEA
2026-03-09,55.51,1,Starter Plan,EMEA
2026-03-09,335.02,2,Growth Plan,EMEA
2026-03-09,58.73,2,Add-on Seats,North America
2026-03-09,24.19,1,Add-on Seats,North America
2026-03-09,1133.72,3,Enterprise Plan,North America
2026-03-09,57.07,2,Add-on Seats,North America
2026-03-09,25.19,1,Add-on Seats,North America
2026-03-09,171.66,3,Starter Plan,EMEA
2026-03-09,47.23,1,Starter Plan,North America
2026-03-09,103.54,2,Starter Plan,EMEA
2026-03-09,327.23,2,Growth Plan,North America
2026-03-09,111.64,2,Starter Plan,APAC
2026-03-09,28.47,1,Add-on Seats,North America
2026-03-09,77.21,3,Add-on Seats,EMEA
2026-03-09,112.23,2,Starter Plan,North America
2026-03-09,161.71,1,Growth Plan,North America
2026-03-09,386.17,1,Enterprise Plan,APAC
2026-03-09,153.96,1,Growth Plan,EMEA
2026-03-09,50.92,2,Add-on Seats,North America
2026-03-09,101.45,2,Starter Plan,North America
2026-03-09,28.74,1,Add-on Seats,APAC
2026-03-09,30.94,1,Add-on Seats,EMEA
2026-03-09,161.57,1,Growth Plan,EMEA
2026-03-10,824.8,2,Enterprise Plan,APAC
2026-03-10,50.8,1,Starter Plan,APAC
2026-03-10,824.48,2,Enterprise Plan,APAC
2026-03-10,48.79,1,Starter Plan,EMEA
2026-03-10,159.09,1,Growth Plan,North America
2026-03-10,758.56,2,Enterprise Plan,North America
2026-03-10,55.46,2,Add-on Seats,EMEA
2026-03-10,840.93,2,Enterprise Plan,EMEA
2026-03-10,93.34,2,Starter Plan,North America
2026-03-10,445.43,3,Growth Plan,EMEA
2026-03-10,181.86,1,Growth Plan,APAC
2026-03-10,84.83,3,Add-on Seats,APAC
2026-03-10,46.12,1,Starter Plan,EMEA
2026-03-10,162.57,1,Growth Plan,EMEA
2026-03-10,376.44,1,Enterprise Plan,North America
2026-03-10,105.01,2,Starter Plan,North America
2026-03-10,846.82,2,Enterprise Plan,EMEA
2026-03-10,46.54,1,Starter Plan,North America
2026-03-10,1116.72,3,Enterprise Plan,North America
2026-03-10,93.3,2,Starter Plan,APAC
2026-03-10,296.37,2,Growth Plan,EMEA
2026-03-10,25.4,1,Add-on Seats,APAC
2026-03-10,311.21,2,Growth Plan,North America
2026-03-10,752.63,2,Enterprise Plan,North America
2026-03-10,117.93,2,Starter Plan,APAC
2026-03-10,51.07,1,Starter Plan,EMEA
2026-03-10,397.15,1,Enterprise Plan,EMEA
2026-03-10,379.72,1,Enterprise Plan,North America
2026-03-10,90.29,2,Starter Plan,North America
2026-03-11,57.33,1,Starter Plan,North America
2026-03-11,55.43,2,Add-on Seats,APAC
2026-03-11,111.12,2,Starter Plan,North America
2026-03-11,44.22,1,Starter Plan,EMEA
2026-03-11,172.61,1,Growth Plan,APAC
2026-03-11,49.04,1,Starter Plan,APAC
2026-03-11,158.18,1,Growth Plan,North America
2026-03-11,48.28,1,Starter Plan,North America
2026-03-11,101.38,2,Starter Plan,EMEA
2026-03-11,91.74,2,Starter Plan,North America
2026-03-11,49.07,2,Add-on Seats,North America
2026-03-11,103.21,2,Starter Plan,EMEA
2026-03-11,778.85,2,Enterprise Plan,EMEA
2026-03-11,454.64,3,Growth Plan,North America
2026-03-11,52.16,1,Starter Plan,APAC
2026-03-11,305.7,2,Growth Plan,North America
2026-03-11,377.28,1,Enterprise Plan,EMEA
2026-03-11,56.21,2,Add-on Seats,APAC
2026-03-11,96.24,2,Starter Plan,APAC
2026-03-11,173.46,1,Growth Plan,North America
2026-03-11,316.94,2,Growth Plan,North America
2026-03-11,56.32,1,Starter Plan,North America
2026-03-12,348.49,1,Enterprise Plan,North America
2026-03-12,45.47,1,Starter Plan,EMEA
2026-03-12,164.53,3,Starter Plan,EMEA
2026-03-12,27.2,1,Add-on Seats,North America
2026-03-12,51.83,2,Add-on Seats,EMEA
2026-03-12,55.4,1,Starter Plan,EMEA
2026-03-12,312.68,2,Growth Plan,EMEA
2026-03-12,109.65,2,Starter Plan,EMEA
2026-03-12,25.72,1,Add-on Seats,APAC
2026-03-12,59.81,2,Add-on Seats,North America
2026-03-12,801.81,2,Enterprise Plan,North America
2026-03-12,56.39,1,Starter Plan,North America
2026-03-12,358.59,1,Enterprise Plan,North America
2026-03-12,826.75,2,Enterprise Plan,APAC
2026-03-12,182.44,1,Growth Plan,North America
2026-03-12,29.15,1,Add-on Seats,North America
2026-03-12,98.55,2,Starter Plan,APAC
2026-03-12,291.02,2,Growth Plan,North America
2026-03-12,385.28,1,Enterprise Plan,EMEA
2026-03-12,323.41,2,Growth Plan,APAC
2026-03-12,149.76,1,Growth Plan,APAC
2026-03-12,52.39,1,Starter Plan,North America
2026-03-12,751.67,2,Enterprise Plan,North America
2026-03-12,29.74,1,Add-on Seats,North America
2026-03-12,658.93,2,Enterprise Plan,APAC
2026-03-12,400.02,1,Enterprise Plan,North America
2026-03-12,366.59,1,Enterprise Plan,North America
2026-03-12,107.03,2,Starter Plan,APAC
2026-03-13,30.12,1,Add-on Seats,APAC
2026-03-13,161.13,1,Growth Plan,North America
2026-03-13,54.44,1,Starter Plan,North America
2026-03-13,102.08,2,Starter Plan,EMEA
2026-03-13,310.96,2,Growth Plan,North America
2026-03-13,399.25,1,Enterprise Plan,APAC
2026-03-13,27.91,1,Add-on Seats,North America
